name,final,coryat,right,wrong,uid,playerid
Jay,4400,2200,6,3,200,427
Pam,32201,28200,32,1,200,426
Michael,30601,14600,19,2,200,425
Christopher,9401,5700,17,2,201,422
Rebecca,0,3500,10,2,201,424
John,6100,4900,23,5,201,423
David,19500,9800,13,1,202,430
Andrew,10600,11600,19,6,202,429
Steve,38700,19400,24,2,202,428
Christopher,14001,13900,27,0,203,422
Amy,9000,7000,18,1,203,432
Norm,4800,4100,13,2,203,431
Glen,13400,6500,19,1,204,435
Cori,200,4500,13,3,204,434
Doug,15900,9800,22,2,204,433
Christopher,0,6200,16,2,205,422
Kathy,1900,3900,11,3,205,437
Jeff,3199,6200,20,3,205,436
Keith,10000,5800,14,0,206,440
Eddie,14400,6500,21,3,206,439
Becky,5000,3600,13,2,206,438
Chris,21799,24400,29,5,207,443
Mike,5,7600,14,4,207,442
Dennis,6000,6000,12,1,207,441
Matt,0,4000,9,2,208,448
Leah,46800,19200,19,1,208,447
Doug,2400,23200,29,1,208,446
Merle,3000,3300,12,1,209,450
Christopher,17199,13000,30,2,209,422
Suzanne,2399,1200,7,4,209,449
Eric,23500,10800,27,2,210,453
Steve,23000,7100,15,1,210,452
Janice,6000,4100,12,2,210,451
Eric,0,7500,23,6,211,453
Jennifer,3300,5300,17,4,211,455
BobCat,6600,4000,16,7,211,NA
BobCat,22001,10800,23,0,212,NA
Andrew,22000,7800,20,2,212,457
Billy,2000,1200,9,2,212,456
BobCat,4199,6200,22,3,213,NA
Merle,10600,6200,14,3,213,450
Paul,1,5100,15,1,213,458
Jeff,599,8700,20,2,214,436
Boze,16400,7900,17,2,214,445
Carol,600,4100,15,4,214,444
Boze,6900,3600,10,2,215,445
Paul,9800,5100,20,4,215,460
Bridget,10201,8000,18,0,215,459
Bridget,6700,8000,20,1,216,459
Bill,11510,5800,16,2,216,461
Rob,2800,3500,13,4,216,462
Bill,14999,7400,18,1,217,461
Maryanne,16600,10200,22,0,217,464
David,15800,5800,16,3,217,463
Maryanne,16800,9900,20,1,218,464
Michael,19600,7600,23,4,218,466
Barbara,9400,4700,13,2,218,465
Jonathan,24001,14600,22,5,219,469
Eddie,19200,9200,18,6,219,468
Jean,4000,12000,14,0,219,467
Joyce,199,3700,15,6,220,472
Steve,5995,3000,11,4,220,471
Grace,10500,10200,25,1,220,470
John Z,0,2800,12,5,221,NA
Dan,20000,9600,13,1,221,474
Brian,32000,24600,29,4,221,473
Michael,20200,13700,27,1,222,478
Per Gunnar,22000,9000,20,0,222,NA
Boris,0,2400,11,1,222,476
Jerry,7401,9200,14,4,224,480
Ken,37201,19600,27,3,224,1
Julia,14801,14800,16,0,224,479
Robert,28801,17200,24,2,225,483
Bill,6000,2600,9,2,225,482
Russ,12299,11600,15,1,225,481
Paul,650,6700,16,0,226,486
Lori,1,7700,20,1,226,485
Christian,1000,5500,15,2,226,484
Lynne,19600,9800,14,2,227,489
John,0,9600,15,3,227,488
Shane,20400,19000,22,5,227,487
Michael,6600,3300,16,3,228,466
Bradley,15000,13000,31,1,228,491
Rokshana,6600,3300,7,0,228,490
Bradley,12800,6900,22,5,229,491
Ken,1100,4900,14,4,229,495
Kim,3999,7000,13,1,229,492
Pat,20000,10700,35,5,230,178
Jenny,1200,2200,5,1,230,494
Paul,200,2700,9,3,230,493
Bradley,13000,6500,16,2,231,491
Lisa,7999,3800,12,1,231,496
Pat,13001,11800,28,4,231,178
Pat,12400,11400,32,2,232,178
Steve,300,200,6,3,232,498
Denise,2400,2400,6,2,232,497
Michael,24801,21200,29,1,233,501
Jeff,24800,10200,14,4,233,500
Jamie,4400,2200,5,1,233,499
Lynne,20600,10400,24,0,234,517
Mark,2000,4500,12,1,234,503
Harry,100,8400,18,0,234,502
Brad,4401,10400,11,4,235,506
Steve,20801,21000,23,3,235,505
Phoebe,400,10400,16,0,235,504
Pat,11001,12200,31,2,236,178
Nathan,0,0,5,4,236,508
Diane,2,5500,13,2,236,507
Tom,13999,9800,18,9,237,511
Eugene,15600,15600,17,1,237,510
Chacko,6799,3400,14,6,237,509
Bruce,1,9400,8,1,238,514
John,11500,22400,26,1,238,513
Bob,10200,15400,22,2,238,512
Michael,11800,8600,22,5,239,394
Dave,10599,5300,13,1,239,516
Pamela,1,5300,16,1,239,515
Shawn,12800,10100,23,2,240,520
Cathi,0,5100,14,2,240,519
Fred,12800,6400,19,2,240,518
Shawn,0,7700,17,0,241,520
Fred,15700,7800,21,3,241,518
Courtney,15598,6600,15,0,241,521
Fraser,0,4600,22,8,242,524
India,16000,16200,16,0,242,523
Bill,100,5600,11,4,242,522
Bernie,3966,16600,15,0,243,527
Pat,7800,9200,17,4,243,526
Kyle,14999,16200,21,3,243,525
Fred,9000,10300,21,2,244,518
Brian,600,4600,18,5,244,529
Betsy,5500,3900,8,1,244,528
Amy,18800,9400,11,1,245,532
Craig,21599,17200,18,1,245,531
Rick,23201,15600,23,2,245,530
Dane,0,1900,7,1,246,535
Chuck,18000,14000,32,1,246,534
Hilary,0,3700,12,0,246,533
Fred,18000,10100,21,1,247,518
