game,show,date
4050,6515,2013-01-04
4051,6516,2013-01-07
4052,6517,2013-01-08
4053,6518,2013-01-09
4054,6520,2013-01-11
4055,6519,2013-01-10
4056,6521,2013-01-14
4057,6522,2013-01-15
4058,6523,2013-01-16
4059,6524,2013-01-17
4060,6525,2013-01-18
4061,6526,2013-01-21
4062,6527,2013-01-22
4063,6528,2013-01-23
4064,6529,2013-01-24
4065,6530,2013-01-25
4066,6531,2013-01-28
4067,6532,2013-01-29
4068,6533,2013-01-30
4069,6534,2013-01-31
4070,6535,2013-02-01
4071,6537,2013-02-05
4072,6536,2013-02-04
4073,6538,2013-02-06
4074,6539,2013-02-07
4075,6540,2013-02-08
4076,6541,2013-02-11
4078,6543,2013-02-13
4079,6544,2013-02-14
4080,456,1986-09-08
4081,6545,2013-02-15
4082,6546,2013-02-18
4083,596,1987-03-23
4084,6547,2013-02-19
4085,581,1987-03-02
4086,6548,2013-02-20
4087,6549,2013-02-21
4088,6550,2013-02-22
4089,460,1986-09-12
4090,6551,2013-02-25
4091,468,1986-09-24
4093,6553,2013-02-27
4094,471,1986-09-29
4095,6554,2013-02-28
4096,6555,2013-03-01
4097,559,1987-01-29
4098,6556,2013-03-04
4100,6557,2013-03-05
4101,6558,2013-03-06
4102,2487,1995-05-30
4103,2320,1994-10-07
4104,6559,2013-03-07
4105,6560,2013-03-08
4106,6561,2013-03-11
4107,2107,1993-11-02
4108,6562,2013-03-12
4109,1201,1989-11-20
4110,6563,2013-03-13
4111,1518,1991-03-20
4112,6564,2013-03-14
4113,6565,2013-03-15
4114,6566,2013-03-18
4116,6567,2013-03-19
4117,2649,1996-02-22
4118,6568,2013-03-20
4119,1417,1990-10-30
4120,1418,1990-10-31
4121,6569,2013-03-21
4122,6570,2013-03-22
4123,2550,1995-10-06
4124,6572,2013-03-26
4125,1706,1992-01-20
4126,6571,2013-03-25
4127,1839,1992-09-10
4128,6573,2013-03-27
4129,6574,2013-03-28
4130,1836,1992-09-07
4131,6575,2013-03-29
4132,6576,2013-04-01
4133,6577,2013-04-02
4134,6578,2013-04-03
4135,1866,1992-10-19
4136,6580,2013-04-05
4137,6579,2013-04-04
4138,1948,1993-02-10
4139,6581,2013-04-08
4140,6582,2013-04-09
4141,2728,1996-06-12
4142,6584,2013-04-11
4143,6583,2013-04-10
4144,2729,1996-06-13
4145,6585,2013-04-12
4146,2598,1995-12-13
4147,6586,2013-04-15
4148,2784,1996-10-10
4149,6587,2013-04-16
4150,6588,2013-04-17
4151,6589,2013-04-18
4152,2716,1996-05-27
4153,6590,2013-04-19
4154,2848,1997-01-08
4155,6591,2013-04-22
4156,6592,2013-04-23
4157,496,1986-11-03
4158,497,1986-11-04
4159,6593,2013-04-24
4160,6594,2013-04-25
4161,6595,2013-04-26
4162,2526,1995-09-04
4163,6596,2013-04-29
4164,2053,1993-07-07
4165,6597,2013-04-30
4166,1972,1993-03-16
4167,2040,1993-06-18
4168,1841,1992-09-14
4169,6598,2013-05-01
4170,6599,2013-05-02
4171,6600,2013-05-03
4172,6601,2013-05-06
4173,6602,2013-05-07
4174,1842,1992-09-15
4175,2024,1993-05-27
4176,6603,2013-05-08
4177,6604,2013-05-09
4178,6605,2013-05-10
4179,2056,1993-07-12
4180,6606,2013-05-13
4181,6607,2013-05-14
4182,1959,1993-02-25
4184,6608,2013-05-15
4185,6609,2013-05-16
4187,6611,2013-05-20
4188,804,1988-02-18
4190,6612,2013-05-21
