"game","show","date"
6260,7968,2019-04-10
6261,7969,2019-04-11
6262,7970,2019-04-12
6263,7971,2019-04-15
6264,1699,1992-01-09
6265,7972,2019-04-16
6266,7973,2019-04-17
6267,7974,2019-04-18
6268,7975,2019-04-19
6269,7976,2019-04-22
6270,7977,2019-04-23
6271,7978,2019-04-24
6272,7979,2019-04-25
6273,7980,2019-04-26
6274,7981,2019-04-29
6275,7982,2019-04-30
6276,7983,2019-05-01
6277,7984,2019-05-02
6278,7985,2019-05-03
6279,7986,2019-05-06
6280,7987,2019-05-07
6281,7988,2019-05-08
6282,7989,2019-05-09
6283,7990,2019-05-10
6284,7991,2019-05-13
6285,7992,2019-05-14
6286,7993,2019-05-15
6287,7994,2019-05-16
6289,7996,2019-05-20
6290,7997,2019-05-21
6291,7998,2019-05-22
6292,7999,2019-05-23
6293,8000,2019-05-24
6294,572,1987-02-17
6295,8001,2019-05-27
6296,573,1987-02-18
6297,8002,2019-05-28
6298,1287,1990-03-20
6299,574,1987-02-19
6300,8003,2019-05-29
6301,575,1987-02-20
6302,8004,2019-05-30
6303,8005,2019-05-31
6304,8006,2019-06-03
6305,576,1987-02-23
6306,577,1987-02-24
6307,8007,2019-06-04
6308,578,1987-02-25
6309,8008,2019-06-05
6310,579,1987-02-26
6311,8009,2019-06-06
6313,8010,2019-06-07
6314,960,1988-11-04
6315,1559,1991-05-16
6316,8011,2019-06-10
6318,8012,2019-06-11
6319,2187,1994-02-22
6320,8013,2019-06-12
6321,631,1987-05-11
6322,633,1987-05-13
6323,8014,2019-06-13
6324,8015,2019-06-14
6325,1732,1992-02-25
6326,8016,2019-06-17
6327,1031,1989-02-13
6328,8017,2019-06-18
6329,634,1987-05-14
6330,8018,2019-06-19
6331,635,1987-05-15
6332,8019,2019-06-20
6333,8020,2019-06-21
6334,2009,1993-05-06
6335,8021,2019-06-24
6336,2013,1993-05-12
6337,636,1987-05-18
6338,8022,2019-06-25
6340,637,1987-05-19
6341,2296,1994-09-05
6342,8024,2019-06-27
6343,638,1987-05-20
6345,1146,1989-09-04
6346,639,1987-05-21
6347,8026,2019-07-01
6348,1093,1989-05-10
6349,8027,2019-07-02
6350,8028,2019-07-03
6351,8029,2019-07-04
6352,8030,2019-07-05
6353,1785,1992-05-08
6354,8031,2019-07-08
6355,2011,1993-05-10
6356,1700,1992-01-10
6357,1701,1992-01-13
6358,1702,1992-01-14
6359,1703,1992-01-15
6360,2687,1996-04-16
6361,2326,1994-10-17
6362,1627,1991-10-01
6363,2241,1994-05-09
6364,8032,2019-07-09
6365,2474,1995-05-11
6366,8033,2019-07-10
6367,2703,1996-05-08
6368,8034,2019-07-11
6369,8035,2019-07-12
6370,1784,1992-05-07
6371,8036,2019-07-15
6372,862,1988-05-10
6373,1261,1990-02-12
6374,8037,2019-07-16
6375,2641,1996-02-12
6376,8038,2019-07-17
6377,1952,1993-02-16
6379,8040,2019-07-19
6380,2238,1994-05-04
6381,8041,2019-07-22
6382,863,1988-05-11
6383,1264,1990-02-15
6384,8042,2019-07-23
6385,1951,1993-02-15
6386,8043,2019-07-24
6387,2469,1995-05-04
6388,8044,2019-07-25
6389,8045,2019-07-26
6390,2706,1996-05-13
6391,864,1988-05-12
6392,1258,1990-02-07
6393,2006,1993-05-03
6394,2516,1995-07-10
6395,2012,1993-05-11
6396,867,1988-05-17
6397,1259,1990-02-08
6398,2010,1993-05-07
6399,868,1988-05-18
6400,1256,1990-02-05
6401,869,1988-05-19
6403,2059,1993-07-15
6404,2060,1993-07-16
6405,1557,1991-05-14
6406,1555,1991-05-10
6407,2064,1993-07-22
6409,866,1988-05-16
6410,8046,2019-09-09
6411,8047,2019-09-10
6412,8048,2019-09-11
6413,8049,2019-09-12
6414,8050,2019-09-13
6415,686,1987-09-07
6416,8051,2019-09-16
6417,8052,2019-09-17
6418,8053,2019-09-18
6419,8054,2019-09-19
6420,8055,2019-09-20
6421,410,1986-04-04
6422,8056,2019-09-23
6423,8057,2019-09-24
6424,8058,2019-09-25
6425,8059,2019-09-26
6426,8060,2019-09-27
6427,411,1986-04-07
6428,424,1986-04-24
6429,8061,2019-09-30
6430,916,1988-09-05
6431,8062,2019-10-01
6432,8063,2019-10-02
6433,8064,2019-10-03
6434,8065,2019-10-04
6435,447,1986-05-27
6436,450,1986-05-30
6437,8066,2019-10-07
6438,8067,2019-10-08
6439,8068,2019-10-09
6440,8069,2019-10-10
6441,8070,2019-10-11
6442,8071,2019-10-14
6443,8072,2019-10-15
6444,8073,2019-10-16
6445,8074,2019-10-17
6446,8075,2019-10-18
