"name","final","coryat","right","wrong","uid"
"Dianne",12800,6900,16,2,6083
"Meg",9999,5800,16,1,6084
"Dan",1600,7600,19,1,6084
"Robin",600,5600,15,1,6084
"Jim",10500,6400,17,2,6086
"Joyce",4000,2000,7,1,6086
"John",11001,7300,23,5,6086
"John",14201,8900,25,1,6087
"Rob",2100,8200,20,5,6087
"Judith",0,1000,5,3,6087
"Bill",6801,4400,18,6,6088
"Gaye",600,4100,12,3,6088
"Rick",1600,4000,15,5,6088
"Maureen",2000,4700,15,2,6090
"Gil",8100,4400,12,1,6090
"Tom",11600,7700,19,1,6090
"Tom",7800,6800,16,2,6091
"Louise",16900,10900,25,1,6091
"Jim",0,1600,8,1,6091
"Bob",9300,4700,19,6,6092
"Vonetta",0,900,14,8,6092
"Theron",400,4500,14,1,6092
"Mag",1599,8800,28,4,6093
"Martha",2300,4300,10,2,6093
"Richard",1200,4700,15,3,6093
"Joe",7800,8900,24,2,6094
"Diane",2,2700,10,5,6094
"Penny",100,5100,15,4,6094
"Andrea",0,1300,9,4,6095
"JL",4600,3300,15,2,6095
"Neal",5200,9500,23,3,6095
"Rick",20200,18000,23,2,6096
"Isaac",5200,6400,11,4,6096
"Caitlin",8800,7800,13,3,6096
"Rick",29199,17400,24,2,6097
"Lori",34401,14800,20,2,6097
"Becky",3200,3200,9,3,6097
"Lori",17201,14200,18,0,6098
"Kyle",28401,17200,21,3,6098
"Monica",8400,6000,14,5,6098
"Kyle",9599,16000,20,3,6099
"Shawn",4000,13600,15,2,6099
"Lauren",0,6600,15,3,6099
"Tom",7500,8100,29,6,6100
"Judy",100,5000,10,2,6100
"Geoff",2300,1300,9,4,6100
"Kyle",20800,21400,27,0,6101
"Riley",-400,-400,7,4,6101
"Andrew",10000,13000,18,3,6101
"Kyle",24801,17200,20,1,6102
"Christine",2,10000,15,2,6102
"Reese",0,10000,16,1,6102
"Kyle",24001,14600,22,3,6103
"Emily",15599,15800,17,1,6103
"Raymond",4599,4200,9,1,6103
"Thom",8600,7000,18,2,6104
"Robert",17200,10100,26,3,6104
"Lynn",2400,2400,8,2,6104
"Kyle",19601,12800,16,2,6105
"Jonathan",3500,7000,14,5,6105
"Jordan",16799,9000,17,3,6105
"Kyle",18200,19800,24,1,6106
"Bucky",0,4600,8,4,6106
"Amanda",8399,8800,17,5,6106
"Kyle",5600,10600,18,3,6107
"Rob",22100,21400,21,0,6107
"Dino",4599,7600,14,3,6107
"Robert",7001,6100,19,3,6108
"Dave",3000,2500,13,4,6108
"Jean",500,4300,11,3,6108
"Robert",8001,7600,26,4,6109
"Jon",8000,7500,16,2,6109
"Kathy",1599,800,10,5,6109
"Rob",5,6200,12,1,6110
"William",799,5400,15,4,6110
"Nancy",3600,8800,13,3,6110
"Nancy",31400,16400,20,0,6111
