"round","col","row","i","name","score","uid"
1,4,3,5,"Pete",100,522
2,2,3,38,"Beverly",500,522
2,4,4,34,"Beverly",500,522
1,3,5,15,"Andy",800,523
2,2,5,40,"Andy",-2000,523
2,4,5,55,"Monica",-1500,523
1,2,5,15,"Dan",-500,524
2,2,4,44,"Dan",1000,524
2,4,5,35,"Dan",1200,524
1,1,4,8,"Eric",-500,525
2,5,3,53,"Eric",800,525
2,1,5,35,"Dan",-1400,525
1,6,4,25,"Robin",2000,526
2,2,4,40,"Liz",3000,526
2,6,4,54,"Liz",-4000,526
1,4,4,14,"Jeanie",1000,527
2,4,2,37,"Jeanie",-1200,527
2,3,5,50,"Andy",-3000,527
1,3,3,10,"Gary",-1100,528
2,4,4,41,"Robin",2000,528
2,6,4,36,"Anne",-800,528
1,5,4,27,"Guy",600,529
2,1,3,36,"Paula",2600,529
2,3,3,47,"Guy",-3000,529
1,3,3,16,"Andy",400,530
2,3,3,45,"Mark",4600,530
2,1,4,59,"Mark",-2300,530
1,5,4,24,"Paula",1500,531
2,5,2,53,"Robin",2500,531
2,2,3,43,"Robin",-2000,531
1,1,3,5,"Mark",-200,532
2,1,3,50,"Will",3200,532
2,4,5,55,"Elizabeth",2500,532
1,4,5,20,"Paula",3100,533
2,4,4,43,"Paula",3000,533
2,1,5,39,"Paula",-5000,533
1,4,5,22,"Michelle",-500,534
2,1,4,35,"Michelle",500,534
2,3,4,44,"Michelle",1000,534
1,3,2,5,"Jason",1000,535
2,2,4,33,"Jason",3000,535
2,3,5,53,"Jason",5500,535
1,6,4,29,"Joe",1000,536
2,5,4,40,"Michelle",1000,536
2,1,5,53,"Deborah",-3000,536
1,1,3,4,"David",500,537
2,1,3,55,"Eric",3100,537
2,4,3,50,"David",2300,537
1,4,5,23,"Susan",-1000,538
2,5,4,43,"Jason",4000,538
2,4,5,32,"Thaddeus",-3000,538
1,1,2,13,"Joe",400,539
2,5,3,46,"Richard",-5000,539
1,1,5,15,"Caren",-1500,540
2,1,5,39,"Jason",6000,540
2,4,5,56,"Caren",5000,540
1,6,5,17,"Kent",500,541
2,5,3,35,"Richard",3400,541
2,2,4,50,"Richard",-4600,541
1,1,4,15,"Jason",1500,542
2,3,3,34,"Jason",3500,542
2,5,3,58,"Jason",4000,542
1,3,5,25,"Mark",-1500,543
2,4,2,53,"Mark",2000,543
2,5,4,44,"Mike",2000,543
1,4,4,18,"Melissa",1500,544
2,1,4,40,"Melissa",1000,544
2,3,5,35,"Ted",2000,544
1,3,4,29,"Beth",300,545
2,4,3,46,"Beth",-2000,545
2,3,4,42,"Tom",1300,545
1,3,4,25,"Rachael",1000,546
2,1,3,58,"Rachael",-1500,546
2,4,3,48,"Frank",4000,546
1,3,5,25,"Dan",1000,547
2,1,4,36,"Steve",3000,547
2,2,5,57,"Dan",-1800,547
1,5,3,22,"Chuck",1000,548
2,3,3,48,"Leslie",2500,548
2,4,4,32,"Eric",3000,548
1,1,2,8,"Bob",1000,549
2,3,4,49,"Bob",1800,549
2,5,4,52,"Eddie",-6400,549
1,1,3,6,"Madeline",1000,550
2,6,2,47,"Madeline",1400,550
2,1,3,42,"Pranita",1000,550
1,4,5,30,"Tisa",800,551
2,5,3,38,"Jo Ellen",800,551
2,4,4,57,"Jo Ellen",-2000,551
1,3,3,8,"Madison",800,552
2,6,5,43,"Dylan",-2000,552
1,1,3,17,"Babu",200,553
2,1,4,60,"India",5000,553
2,6,4,55,"Robin",5000,553
1,4,5,30,"Al",-500,554
2,3,3,43,"Al",-1000,554
2,5,5,50,"Al",1500,554
1,4,5,10,"Jon",800,555
2,5,3,34,"Charlotte",1000,555
2,1,4,52,"Matt",-1400,555
1,1,5,19,"David",900,556
2,2,4,36,"David",2500,556
2,1,5,55,"Amy",500,556
1,5,5,15,"Eric",1500,557
2,1,2,45,"Bob",6400,557
2,2,4,47,"Eric",-2000,557
1,3,5,13,"Mitchell",-800,558
2,5,3,47,"Joseph",1400,558
2,1,4,32,"Hope",1000,558
1,3,5,15,"David",900,559
2,3,4,58,"John",-500,559
2,5,4,49,"David",2000,559
1,5,3,28,"India",-2000,560
2,6,4,49,"Leslie",9000,560
2,3,5,45,"Brad",2000,560
